Ref,Val,Package,PosX,PosY,Rot,Side
"C203","1uF","C_0603_1608Metric",152.320893,-114.468915,180.000000,bottom
"C204","22uF","C_0805_2012Metric",149.370389,-121.539000,0.000000,bottom
"C205","150pF","C_0603_1608Metric",149.479000,-119.634000,180.000000,bottom
"C208","150pF","C_0603_1608Metric",145.034000,-122.174000,45.000000,bottom
"C209","1uF","C_0603_1608Metric",146.431000,-117.729000,0.000000,bottom
"C210","100nF","C_0603_1608Metric",148.209000,-111.760000,0.000000,bottom
"C211","100nF","C_0603_1608Metric",152.654000,-120.650000,180.000000,bottom
"C212","100nF","C_0603_1608Metric",152.400000,-115.951000,180.000000,bottom
"C401","100nF","C_0603_1608Metric",159.800000,-119.000000,-90.000000,bottom
"C501","100nF","C_0603_1608Metric",167.600000,-129.025000,-90.000000,bottom
"C502","10uF","C_0805_2012Metric",165.800000,-129.225000,-90.000000,bottom
"C503","10uF","C_0805_2012Metric",163.800000,-129.225000,-90.000000,bottom
"C505","22uF","C_0805_2012Metric",165.300000,-118.110000,180.000000,bottom
"C506","22uF","C_0805_2012Metric",168.800000,-120.000000,0.000000,bottom
"C507","22uF","C_0805_2012Metric",168.800000,-122.000000,0.000000,bottom
"C508","100nF","C_0603_1608Metric",165.575000,-120.396000,180.000000,bottom
"C509","10uF","C_0805_2012Metric",162.300000,-114.000000,90.000000,bottom
"C510","10uF","C_0805_2012Metric",158.496000,-113.665000,180.000000,bottom
"C511","22uF","C_0805_2012Metric",162.300000,-110.600000,-90.000000,bottom
"C512","22uF","C_0805_2012Metric",151.638000,-106.045000,90.000000,bottom
"C601","1uF","C_0603_1608Metric",145.625000,-105.225000,0.000000,bottom
"C613","1uF","C_0603_1608Metric",129.010000,-124.206000,90.000000,bottom
"C614","1uF","C_0603_1608Metric",128.982000,-104.521000,-90.000000,bottom
"L201","6.8uH","L_0805_2012Metric",148.844000,-117.137500,90.000000,bottom
"PS501","TPSM84338RCJR","CONV_TPSM84338RCJR",165.350000,-125.225000,-90.000000,bottom
"R203","1k","R_0603_1608Metric",153.670000,-117.602000,0.000000,bottom
"R204","1k","R_0603_1608Metric",153.797000,-119.126000,0.000000,bottom
"R501","3k","R_0603_1608Metric",161.800000,-123.850000,90.000000,bottom
"R502","2k","R_0603_1608Metric",159.512000,-123.063000,180.000000,bottom
"R503","18k","R_0603_1608Metric",161.800000,-127.225000,-90.000000,bottom
"R505","72.3k","R_0603_1608Metric",165.354000,-121.920000,180.000000,bottom
"R506","10k","R_0603_1608Metric",163.068000,-120.650000,90.000000,bottom
"R601","6.65k","R_0603_1608Metric",139.200000,-100.237500,-90.000000,bottom
"R602","1.91k","R_0603_1608Metric",136.825000,-104.025000,180.000000,bottom
"R603","1.91k","R_0603_1608Metric",136.800000,-102.425000,0.000000,bottom
"R604","1.5k","R_0603_1608Metric",139.200000,-103.237500,-90.000000,bottom
"R606","1.5k","R_0603_1608Metric",148.600000,-102.025000,-90.000000,bottom
"R607","1.91k","R_0603_1608Metric",151.000000,-101.225000,0.000000,bottom
"R608","1.91k","R_0603_1608Metric",151.000000,-102.825000,180.000000,bottom
"R611","6.65k","R_0603_1608Metric",148.600000,-99.025000,-90.000000,bottom
"TP601","RCT-0C","PROBE_PAD_0805",141.400000,-106.225000,0.000000,bottom
"TP602","RCT-0C","PROBE_PAD_0805",149.225000,-105.025000,0.000000,bottom
"U401","MX25R1635FZUIL0","USON-8L-2X3X0P6_MAC",157.226000,-119.245400,90.000000,bottom
"U501","AZ1117CH2-3.3","SOT-223-3_TabPin2",167.800000,-111.800000,0.000000,bottom
"U502","AZ1117CH2-3.3","SOT-223-3_TabPin2",156.323000,-108.100000,90.000000,bottom
"U602","TLV9002IDR","SOIC127P599X175-8N",144.040000,-101.757500,0.000000,bottom
"C201","4 pF","C_0603_1608Metric",143.166726,-122.000000,-135.000000,top
